CommonName,species,Order,Family,Body_mass_g,Radar ,Distance_m,Time,,,,,
Cliff Swallow,Petrochelidon_pyrrhonota  ,Passeriformes,Hirundinidae,26.5,NA,8000,diurnal,,,,,
Blue Grosbeak,Passerina_caerulea,Passeriformes,Emberizidae,27.39,10.13,1710.44,,,,,,
Semipalmated Sandpiper,Calidris_pusilla,Charadriiformes,Scolopacidae,27.5,10.16,7334.72,,,,,,
Western Sandpiper,Calidris_mauri,Charadriiformes,Scolopacidae,27.82,10.24,6992.98,,,,,,
Lapland Longspur,Calcarius_lapponicus,Passeriformes,Emberizidae,27.84,10.25,2823.38,,night,,,,
White-crowned Sparrow,Zonotrichia_leucophrys,Passeriformes,Emberizidae,28,10.29,2448.02,,,,,,
Ash-throated Flycatcher,Myiarchus_cinerascens,Passeriformes,Tyrannidae,28.2,10.34,1326.96,,,,,,
Scarlet Tanager,Piranga_olivacea,Passeriformes,Cardinalidae,28.2,10.34,4822.05,nocturnal,,,,,
Lark Sparrow,Chondestes_grammacus,Passeriformes,Emberizidae,29,10.54,1160.54,,,,,,
Summer Tanager,Piranga_rubra,Passeriformes,Cardinalidae,29.13,10.58,3408.18,nocturnal,,,,,
Hermit Thrush,Catharus_guttatus,Passeriformes,Turdidae,30.1,10.82,2119.69,,,,,,
Swainson's Thrush,Catharus_ustulatus,Passeriformes,Turdidae,30.3,10.87,4835.9,,,,,,
Bobolink,Dolichonyx_oryzivorus,Passeriformes,Icteridae,31.46,11.16,8059.33,nocturnal,,,,,
Cedar Waxwing,Bombycilla_cedrorum,Passeriformes,Bombycillidae,31.58,11.19,1467.94,,,,,,
Gray-cheeked Thrush,Catharus_minimus,Passeriformes,Turdidae,31.58,11.19,7638.57,,,,,,
Veery,Catharus_fuscescens,Passeriformes,Turdidae,31.9,11.27,7846.94,nocturnal,,,,,
Olive-sided Flycatcher,Contopus_cooperi,Passeriformes,Tyrannidae,32.1,11.32,7045.33,,,,,,
Great Crested Flycatcher,Myiarchus_crinitus,Passeriformes,Tyrannidae,32.1,11.32,3043.36,nocturnal,,,,,
Baltimore Oriole,Icterus_galbula,Passeriformes,Icteridae,32.83,11.5,3039.17,nocturnal,,,,,
Fox Sparrow,Passerella_iliaca,Passeriformes,Emberizidae,33.25,11.6,3236.94,,,,,,
Gray Catbird,Dumetella_carolinensis,Passeriformes,Mimidae,35.3,12.1,2304.75,nocturnal,,,,,
Harris's Sparrow,Zonotrichia_querula,Passeriformes,Emberizidae,35.5,12.14,3181.28,,,,,,
Bullock's Oriole,Icterus_bullockii,Passeriformes,Icteridae,37.9,12.71,2193.32,,night,,,,
Scissor-tailed Flycatcher,Tyrannus_forficatus,Passeriformes,Tyrannidae,39.3,13.04,2235.76,,,,,,
Western Kingbird,Tyrannus_verticalis,Passeriformes,Tyrannidae,39.6,13.11,3110.21,,night,,,,
Eastern Kingbird,Tyrannus_tyrannus,Passeriformes,Tyrannidae,39.85,13.17,7082.38,diurnal,,,,,
Baird's Sandpiper,Calidris_bairdii,Charadriiformes,Scolopacidae,40.97,13.42,11776.26,,,,,,
